,country,pincode,locality,state,district,city,latitude,longitude,Clusters,1st Most Frequent Venue,2nd Most Frequent Venue,3rd Most Frequent Venue,4th Most Frequent Venue,5th Most Frequent Venue,6th Most Frequent Venue,7th Most Frequent Venue,8th Most Frequent Venue,9th Most Frequent Venue,10th Most Frequent Venue
50183,IN,560070,B Sk II Stage,Karnataka,Bangalore,Bangalore South,12.9229,77.5798,0,Indian Restaurant,Coffee Shop,Park,Hookah Bar,Ice Cream Shop,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Salad Place,Diner
50184,IN,560070,Padmanabhnagar,Karnataka,Bangalore,Bangalore South,12.9229,77.5798,0,Indian Restaurant,Coffee Shop,Park,Hookah Bar,Ice Cream Shop,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Salad Place,Diner
50185,IN,560070,Jayanagar West,Karnataka,Bangalore,Bangalore South,12.9229,77.5798,0,Indian Restaurant,Coffee Shop,Park,Hookah Bar,Ice Cream Shop,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Salad Place,Diner
50186,IN,560071,Domlur,Karnataka,Bangalore,Bangalore North,12.9617,77.6391,4,Indian Restaurant,Café,Sports Bar,Lounge,Rajasthani Restaurant,Liquor Store,Sandwich Place,Bookstore,Food & Drink Shop,Italian Restaurant
50187,IN,560072,Nagarbhavi,Karnataka,Bangalore,Bangalore North,12.9801,77.5113,4,Breakfast Spot,Pizza Place,Dance Studio,Liquor Store,Café,Donut Shop,Fishing Store,Fast Food Restaurant,Farmers Market,Event Service
50188,IN,560073,Nagasandra (Bangalore),Karnataka,Bangalore,Bangalore North,12.9229,77.5798,0,Indian Restaurant,Coffee Shop,Park,Hookah Bar,Ice Cream Shop,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Salad Place,Diner
50189,IN,560073,Nelakadiranahalli,Karnataka,Bangalore,Bangalore North,12.9229,77.5798,0,Indian Restaurant,Coffee Shop,Park,Hookah Bar,Ice Cream Shop,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Salad Place,Diner
50190,IN,560073,Bagalgunte,Karnataka,Bangalore,Bangalore North,12.9229,77.5798,0,Indian Restaurant,Coffee Shop,Park,Hookah Bar,Ice Cream Shop,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Salad Place,Diner
50191,IN,560073,Chikkabidarkal,Karnataka,Bangalore,Bangalore North,12.9229,77.5798,0,Indian Restaurant,Coffee Shop,Park,Hookah Bar,Ice Cream Shop,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Salad Place,Diner
50192,IN,560074,Kumbalagodu,Karnataka,Bangalore,Bangalore South,12.9229,77.5798,0,Indian Restaurant,Coffee Shop,Park,Hookah Bar,Ice Cream Shop,Asian Restaurant,Italian Restaurant,Fast Food Restaurant,Salad Place,Diner
